1	Ablution
2	Affirmation
3	Airmail Special
4	Alfie's Theme
5	All Alone
6	All God's Chillun Got Rhythm
7	Altoitis
8	Another Star
10	April
9	April Skies
12	Ask Me Now
13	Avalon
14	Backstage Sally
15	Bags And Trane
16	Bags' Groove
20	Ba-Lue Bolivar Ba-Lues-Are
17	Barbados
18	Barbara
19	Basin Street Blues
21	Be Bop
20	Beethoven's Blue 3rd
22	Better Git It In Your Soul
23	Beyond All Limits
404	Big P
24	Billie's Bounce
405	Bills' Hit Tun
26	Birdland
37	Birk's Works
25	Birth oe The Blue
28	Black And Tan Fantasy
29	Bloomdido
30	Blue And Sentimental
31	Blue Moon
32	Blue A La Mode
33	Blues By Five
32	Blues Connotation
33	Blue Seven
34	Blues For Philly Joe
34	Blues For Wood
35	Blue Silver
36	Blues In The Close
406	Bohemia After Dar
38	Boogie Stop Shuffle
39	Booker's Waltz
40	Bouncing With Bud
41	Brazilian Beat
42	Brian's Song
43	Bright Boy
44	Bright Moments
45	Brilliant Corners
46	Brown Skin Girl
47	Budo
48	Bud's Bubble
49	Bunko
37	Buster Rides Again
50	But Not For Me
51	Bye Bye Blackbird
407	Byrdlike
52	Can't We Be Friends
53	Caravan
54	Careful
55	Careless Love
56	Catch Me
57	C'est what
58	Chameleon
59	Chase, The
62	Chasin' The Train
60	Cheese Cake
61	Circle
55	C Jam Blues
63	Come Rain Or Come Shine
64	Comin' Home Baby
65	Confessin (That I Love You)
66	Cookin'
64	Cool Blues
66	Core, The
70	Cork N Bib
62	Cousin Mary
67	Crazeology
68	CrissCross
69	Cute
71	Day In Vienna, A
408	Decision
72	Deep Purple
73	Dewey Square
74	Diane
75	Dindi
76	Domingo
78	Down For Double
77	Do Nothing Till You Hear From Me
79	Doxy
80	Do You Know What It Means (To Miss New Orleans)
81	Drive, The
70	Duff
82	Early Autumn
83	Eclypso
92	Einbahnstrasse
92	E.K.'s Blues
84	Elora
85	Embraceable You
86	Enchance
87	Epilogue
88	Evening In Concert
89	Everything I Have Is Yours
90	Eye Of The Hurricane
91	Ezz-thetic
94	Feels So Good
93	52nd Street Theme
