1	After You
2	After You've Gone
3	Ain't Misbehavin'
6	Alanjuneally
4	All Or Nothing At All
7	Along Came Betty
8	Always And Forever
9	Angela
10	Armando's Rhumba
12	Autumn In 3
13	Autumn Nocturne
14	Avalon Place
15	Ballad For Anita
16	Ballad For Trane
18	Be My Love
17	Beautiful Friendship
24	Berrie's Tune
20	Beside Myself
22	Bess, You Is My Woman Now
25	Best Thing For You Is Me
26	Better Git It In Your Soul
27	Beyond The Bluebird
28	Blue Daniel
29	Bluebird
30	Blues Backstage
31	Bolivia
34	Bop Boy
32	Bop Shop
35	Born To Be Blue
36	Bossa Rokka
37	Boy Next Door, The
38	Bud Powell
40	Bud's Blues
41	Busch-Wacked
42	Buzzy
43	By Myself
44	Bye Bye Baby
45	Careful
46	Celia
48	Certain Smile, A
49	Chariots
50	Cheek To Cheek
53	Cheryl
54	Close Enough For Love
55	Compensation
56	Cool Eyes
58	Cry Me A River
59	Day Dream
60	Dacapolypso
62	Day In, Day Out
64	Dig
66	Don't Ask Why
67	Don't Ever Go Away
68	Don't Look Back
70	Double Clutching
71	Dream Dancing
72	East Of The Sun
73	Emanon
74	Emily
75	End Of A Love Affair, The
76	Endlessly
78	Estate
79	Eternal Triangle
80	Ev'ry Time We Say Good Bye
82	Everything Happens To Me
83	EverythingI Love
84	Father
85	Favela
86	Fell Like Makin' Love
87	For Heavens' Sake
88	Freight Trane
89	French Waltz
90	Friday The 13th
91	From Now On
92	From the Heart 
94	From This Moment On
95	Full Moon and Empty Arms
96	Funkallero
98	Gaviota
97	Gnu Blu
100	Godchild
101	Gone With The Wind
102	Goodbye
103	Got A Match
112	H&H
104	Harlem Nocturne
106	Heartsong
108	High Hopes
110	High Wire The Aerialist
113	Hot House
114	How About You
115	How Deep Is The Ocean
116	How Long Has This Been Going On
118	I Concentrate On You
117	I Didn't Know What Time It Was
120	I Fall In Love Too Easily
121	I Left My Heart In San Francisco
128	I Loves You Porgy
122	I Need You Here
124	I Wish You Love
126	I'll Be Around
129	I'll Be Seeing You
130	I'll Close My Eyes
131	I'll Take Romance
132	I'm Glad There Is You
133	I'm Old Fashioned
134	I'm Through With Love
135	I've Got A Crush On You
136	I've Got The World On A String
138	I've Got You Under My Skin
140	I've Grown Accustomed To Your Face
141	I've Never Been In Love Before
142	Ill Wind
143	In A Capricornian Way
144	In Her Family
145	In Love In Vain
146	In the Days of Our Love
148	Indian Summer
149	Irv's At Midnight
150	Isfahan
151	It Never Entered My Mind
152	It's All Right With Me
154	It's You Or No One
155	Japanese Waltz, A
156	Jersey Bounce
158	Jitterbug Waltz
157	Jive Samba
162	Julian
160	Just One Of Those Things
163	Just Squeeze Me
164	Ladies In Mercedes
166	Lady Is A Tramp, The
167	Lazy Afternoon
168	Leap Of Faith
170	Line For Lyons
172	Little Face [Tab_]
174	Little Girl Blue
171	Little Willie Leaps
176	Long View, The
178	Loop, The
179	Lotus On Irish Streams, A
180	Loud-Zee
182	Love Walked In
181	Lovers Rain Dance
184	Lullaby Of The Leaves
185	Lulu's Back In Town
186	Makin' Whoopee
188	Mandala
189	Manhattan
190	Matrix
191	Mayreh
192	Meaning Of The Blues, The
194	Mi Boj A Samba
196	Midnight Sun
193	Milestones
198	Moment To Moment
200	Monster & The Flower, The
202	Moon and Sand
199	Moonlight In Vermont
204	Mountain Greenery
205	Muezzin'
208	My Heart Stood Still
206	My Man's Gone Now
209	Neal's Blues
210	Never Let Me Go
211	Nice 'N Easy
212	N nt We Called It A Day, The
213	Nightingale Sang In Berkeley Square, A
214	Nobody Eise But Me
215	Now He Beats The Drum-Now He Stops
216	Now He Sings, Now he Sobs
217	Number 6
218	Old Folks
219	On A Clear Day
220	On The Sly
222	On The Street Where You Live
224	Only You Know
228	Our Delight
226	Out Of This World
229	Over The Rainbow
230	Ow!
232	Panhandle Hook
231	Party's Over, The
234	Passport
235	Patz Blues
236	People
238	Perhaps
239	Picadilly Lilly
240	Poinciana
241	Point Of Return
242	Poor Butterfly
243	Pretty Girl Is Like A Melody, A
244	Prism
245	Pure Imagination
246	Rahsaan's Run
247	Re-Re
248	Re PersonI Knew
249	Relaxin' At Carmarillo
252	Room 608
250	Rosewood
253	Saint Thomas
254	Samba De Orfeu
258	Sambacide
256	Santurce
259	Seabrook Revisited
260	Secret Love
262	Seems To Me
263	Serpent's Tooth
264	Shaw Nuff
266	Sister Sadie
267	Skylark
268	Sleepin' Bee, A
270	So In Love
272	Some Nerve
273	Something From Everyone
274	Song For Sisyphus
276	Sonnymoon For Two
277	Soon
278	Spirit Samba
280	Spring Can Really Hang You Up The Most
282	Squirrel
283	Stablemates
284	Star Eyes
285	Stars Fell On Alabama
286	Steeple Chase
287	StormyWeather
288	Street Of Dreams
289	Sunny
290	Sunny Side Of The Street
291	Sweet Lorraine
292	Swing Dentz Swing
294	Swing Shift
295	Sy Clone
296	TJRC
298	Tea For Two
297	Teach Me Tonight
300	That Old Feeling
301	That's All
302	Theme From Maxine
303	Then I'll Be Tired Of You
304	There Goes My Heart
306	They Say Its Wonderful
307	Their's Tears
308	Things Ain't What They Used To Be
309	This Can't Be Love
310	Three And One
311	Thrill Is Gone,The
312	Thyme's Time
314	Tidal Breeze
315	Time For Love, A
318	Time Was
316	Times Lie
319	Tiny Capers
320	Tis'
321	To Kill A Brick
322	Too Close For Comfort
323	Too Marvelous For Words
324	Touch Of Your Lips, The
325	Tricrotism
326	Tune 88
327	Un Poco Loco
328	Unforgettable
329	Very Thought Of You, The
330	Violets For Your Furs
331	Wail
332	Wall-Eye Blues
333	Watch What Happens
334	Watermelon Man
336	Wes Side Stroll
335	What A Difference A Day Made
338	What Kind Of Fool Am I
339	When The Sun Comes Out
340	When Your Lover Has Gone
341	Where OrWhen
342	While We're Young
343	Who Can I Turn To
344	Why Did I Choose You
345	Will You Still Be Mine
346	Witchcraft
347	With Every Breath I Take
348	Wrap Your Troubles In Dreams
349	You & The Night & The Music
350	You Do Something To Me
352	You Go To My Head
351	You Make Me Feel So Young
354	You Must Believe In Spring
356	You're Everything
355	You've Changed
358	Younger Than Springtime
359	Yours Is My Heart Alone
